year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version
1998,7,710,1,3,705,1,470,.,0,705,1,1,0,0,872,0,0,4.01
1998,8,369,1,3,359,1,1,0,0,359,1,1,0,0,873,0,0,4.01
1998,8,359,1,3,369,1,1,0,0,369,1,1,0,0,874,0,0,4.01
1999,3,365,1,3,366,1,30,0,0,366,1,1,0,0,875,0,0,4.01
1999,3,366,1,3,365,1,30,0,0,365,1,1,0,0,876,0,0,4.01
1999,10,1,-9,3,860,-9,14926,780000,1,850,1,1,0,0,877,0,1,4.01
1999,12,710,1,3,721,1,21.45,447000,1,235,0,0,0,0,878,0,0,4.01
1991,.,571,1,1,.,1,5,0,0,-9,-9,-9,0,0,879,0,0,4.01
2000,1,651,1,1,625,1,20580,5000,0,625,1,1,0,0,880,0,0,4.01
2002,5,860,1,-9,860,-9,14926,950000,1,1,-9,-9,1,0,881,1,0,4.01
2003,12,475,1,3,471,1,.,.,0,471,1,1,0,0,882,0,0,4.01
2003,12,471,1,3,475,1,.,.,0,475,1,1,0,0,883,0,0,4.01
2004,7,679,1,3,670,1,40000,.,0,670,1,1,0,0,884,0,1,4.01
2006,6,348,1,4,348,-9,13812,650000,1,345,1,1,1,0,885,1,0,4.01
2008,8,471,1,3,475,1,665,300000,0,475,1,1,0,0,886,0,1,4.01
2008,10,710,1,3,365,1,174,0,0,365,1,1,0,0,887,0,0,4.01
